CUSTOMERNAME,CUSTOMER_LAST_TRANSACTION_DATE,RECENCY_VALUE,FREQUENCY_VALUE,TOTAL_QTY_ORDERED,MONETARY_VALUE,R_SCORE,F_SCORE,M_SCORE,TOTAL_RFM_SCORE,RFM_COMBINATION,CUSTOMER_SEGMENT
"Blauer See Auto, Co.",2004-11-05,207,4,1622,170343,2,4,3,9,243,"Promising Customers"
"Mini Classics",2004-10-15,228,2,1858,171112,2,2,3,7,223,"Promising Customers"
"Collectable Mini Designs Co.",2004-02-26,460,2,1908,174978,1,1,3,5,113,"Promising Customers"
"Vitachrome Inc.",2004-11-05,207,3,1574,176083,2,2,3,7,223,"Promising Customers"
"Stylish Desk Decors, Co.",2004-12-03,179,3,1874,177609,3,3,3,9,333,"Promising Customers"
"Auto Canal Petit",2005-04-07,54,3,2002,186341,4,4,3,11,443,"Promising Customers"
"Cruz & Sons Co.",2004-11-16,196,3,1922,188031,2,3,3,8,233,"Promising Customers"
"Amica Models & Co.",2004-09-09,264,2,1686,188235,1,1,3,5,113,"Promising Customers"
"La Corne D'abondance, Co.",2004-11-20,192,3,1672,194407,3,3,3,9,333,"Promising Customers"
FunGiftIdeas.com,2005-03-03,89,3,1806,197847,4,4,3,11,443,"Promising Customers"
"Toms Spezialitten, Ltd",2004-10-16,227,2,1872,200613,2,2,3,7,223,"Promising Customers"
"Heintze Collectables",2004-10-22,221,2,1764,201191,2,2,3,7,223,"Promising Customers"
"Gift Depot Inc.",2005-05-05,26,3,1806,203790,5,4,4,13,544,"Promising Customers"
"Marta's Replicas Co.",2004-10-13,230,2,1952,206161,2,2,4,8,224,"Needs Attention"
"Oulu Toy Supplies, Inc.",2005-01-31,120,3,2220,208741,4,3,4,11,434,"Needs Attention"
Toys4GrownUps.com,2005-01-12,139,3,2120,209124,4,3,4,11,434,"Needs Attention"
"Mini Creations Ltd.",2005-01-07,144,3,2280,217902,3,3,4,10,334,"Needs Attention"
"Toys of Finland, Co.",2005-02-09,111,3,2102,222501,4,4,4,12,444,"Needs Attention"
"Herkku Gifts",2004-09-03,270,3,1946,223281,1,2,4,7,124,"Needs Attention"
"Suominen Souveniers",2005-01-06,145,3,2062,227922,3,3,4,10,334,"Needs Attention"
"Handji Gifts& Co",2005-04-23,38,4,2472,230997,5,5,4,14,554,"Needs Attention"
"Baane Mini Imports",2004-11-05,207,4,2164,233198,2,4,4,10,244,"Needs Attention"
"Vida Sport, Ltd",2004-08-30,274,2,2156,235427,1,1,4,6,114,"Needs Attention"
"UK Collectables, Ltd.",2005-04-08,53,3,2092,236017,5,4,4,13,544,"Promising Customers"
"Tokyo Collectables, Ltd",2005-04-22,39,4,2300,241125,5,5,4,14,554,"Needs Attention"
"Corrida Auto Replicas, Ltd",2004-11-01,211,3,2326,241231,2,2,4,8,224,"Needs Attention"
"Technics Stores Inc.",2005-01-05,146,4,2358,241566,3,4,4,11,344,"At Risk"
"Diecast Classics Inc.",2005-05-30,1,4,2222,244276,5,5,4,14,554,"Needs Attention"
"Online Diecast Creations Co.",2004-11-04,208,3,2496,263371,2,2,4,8,224,"Needs Attention"
"Scandinavian Gift Ideas",2005-03-03,89,3,2718,268519,4,4,4,12,444,"Needs Attention"
"Reims Collectables",2005-03-30,62,5,2866,270086,4,5,5,14,455,"At Risk"
"Rovelli Gifts",2004-11-12,200,3,3300,275911,2,2,5,9,225,"At Risk"
"L'ordine Souveniers",2005-05-10,21,3,2560,285203,5,2,5,12,525,"At Risk"
"Saveley & Henriot, Co.",2004-03-02,455,3,2856,285748,1,2,5,8,125,"At Risk"
"Danish Wholesale Imports",2005-04-15,46,5,2630,290083,5,5,5,15,555,Lost/Inactive
"Salzburg Collectables",2005-05-17,14,4,2884,299597,5,5,5,15,555,Lost/Inactive
"Corporate Gift Ideas Co.",2005-02-23,97,4,2894,299765,4,5,5,14,455,"At Risk"
"Souveniers And Things Co.",2005-05-29,2,4,3202,303142,5,5,5,15,555,Lost/Inactive
"Anna's Decorations, Ltd",2005-03-09,83,4,2938,307992,4,5,5,14,455,"At Risk"
"AV Stores, Co.",2004-11-17,195,3,3556,315616,3,3,5,11,335,Lost/Inactive
"The Sharp Gifts Warehouse",2005-04-22,39,4,3312,320021,5,5,5,15,555,Lost/Inactive
"Land of Toys Inc.",2004-11-15,197,4,3262,328139,2,4,5,11,245,Lost/Inactive
"Dragon Souveniers, Ltd.",2005-03-02,90,5,3048,345979,4,5,5,14,455,"At Risk"
"La Rochelle Gifts",2005-05-31,0,4,3664,360250,5,5,5,15,555,Lost/Inactive
"Muscle Machine Inc",2004-12-01,181,4,3550,395474,3,5,5,13,355,Lost/Inactive
"Australian Collectors, Co.",2004-11-29,183,5,3852,401991,3,5,5,13,355,Lost/Inactive
"Mini Gifts Distributors Ltd.",2005-05-29,2,17,12732,1309716,5,5,5,15,555,Lost/Inactive
"Euro Shopping Channel",2005-05-31,0,26,18654,1824588,5,5,5,15,555,Lost/Inactive
